customer_id,prob,default
100000,0.015436651,0
100001,0.02136606,0
100002,0.16176373,0
100003,0.050069984,0
100004,0.09281437,0
100005,0.030580714,0
100006,0.009032648,0
100007,0.07724174,0
100008,0.001382482,0
100009,0.016397242,0
100010,0.005963174,0
100011,0.0041136644,0
100012,0.045277942,0
100013,0.003203636,0
100014,0.018588934,0
100015,0.023740828,0
100016,0.045218028,0
100017,0.0040137954,0
100018,0.21878068,0
100019,0.015799318,0
100020,0.08129209,0
100021,0.59331864,1
100022,0.024559673,0
100023,0.02456131,0
100024,0.055419818,0
100025,0.010386407,0
100026,0.03377562,0
100027,0.12242714,0
100028,0.0076647038,0
100029,0.022383953,0
100030,0.024781624,0
100031,0.04037446,0
100032,0.056777153,0
100033,0.041195422,0
100034,0.0015859524,0
100035,0.024486352,0
100036,0.0035784724,0
100037,0.013101379,0
100038,0.02686047,0
100039,0.034231458,0
100040,0.046274316,0
100041,0.003247783,0
100042,0.13938256,0
100043,0.026057534,0
100044,0.03972256,0
100045,0.011602752,0
100046,0.08823606,0
100047,0.12494572,0
100048,0.0148747265,0
100049,0.023940267,0
100050,0.09224522,0
100051,0.0022540423,0
100052,0.6356529,1
100053,0.05516799,0
100054,0.014897832,0
100055,0.00979367,0
100056,0.017721666,0
100057,0.008448514,0
100058,0.002434434,0
100059,0.015116865,0
100060,0.16075593,0
100061,0.012342824,0
100062,0.0021138538,0
100063,0.08960107,0
100064,0.0052946573,0
100065,0.010059788,0
100066,0.003369937,0
100067,0.00874145,0
100068,0.0076512205,0
100069,0.044755626,0
100070,0.012909027,0
100071,0.56033903,1
100072,0.028053243,0
100073,0.014191531,0
100074,0.060666308,0
100075,0.029210221,0
100076,0.009220184,0
100077,0.066617765,0
100078,0.02103499,0
100079,0.003293139,0
100080,0.10771251,0
100081,0.5819392,1
100082,0.0041058427,0
100083,0.03711714,0
100084,0.013042771,0
100085,0.012884169,0
100086,0.12527125,0
100087,0.103753015,0
100088,0.02034912,0
100089,0.009972439,0
100090,0.040959675,0
100091,0.002210609,0
100092,0.014834555,0
100093,0.011831029,0
100094,0.033888474,0
100095,0.026207568,0
100096,0.05863099,0
100097,0.0057180747,0
100098,0.033286422,0
100099,0.027667044,0
100100,0.40662354,0
100101,0.026929663,0
100102,0.02810191,0
100103,0.112836264,0
100104,0.011645626,0
100105,0.010453877,0
100106,0.008528018,0
100107,0.004488758,0
100108,0.006163028,0
100109,0.007981819,0
100110,0.010497771,0
100111,0.009328317,0
100112,0.038455848,0
100113,0.04179427,0
100114,0.097989194,0
100115,0.015970455,0
100116,0.012863039,0
100117,0.007094339,0
100118,0.057744637,0
100119,0.20068897,0
100120,0.0019542035,0
100121,0.009729083,0
100122,0.008130867,0
100123,0.0054760613,0
100124,0.002123823,0
100125,0.0067314836,0
100126,0.23806919,0
100127,0.003372313,0
100128,0.005918252,0
100129,0.015920999,0
100130,0.002451128,0
100131,0.18356675,0
100132,0.090172164,0
100133,0.014637551,0
100134,0.014371085,0
100135,0.037010808,0
100136,0.0019557406,0
100137,0.012688925,0
100138,0.01713008,0
100139,0.07794948,0
100140,0.076842904,0
100141,0.26332775,0
100142,0.15828602,0
100143,0.046323773,0
100144,0.026378011,0
100145,0.22263923,0
100146,0.22939116,0
100147,0.01275732,0
100148,0.022628851,0
100149,0.5935112,1
100150,0.034003425,0
100151,0.0025764399,0
100152,0.07713949,0
100153,0.004660141,0
100154,0.14160973,0
100155,0.08269371,0
100156,0.012780294,0
100157,0.061201867,0
100158,0.009124392,0
100159,0.029728044,0
100160,0.011764347,0
100161,0.0451849,0
100162,0.005137875,0
100163,0.059917,0
100164,0.022114087,0
100165,0.07556902,0
100166,0.14467469,0
100167,0.52923024,1
100168,0.008626808,0
100169,0.001740581,0
100170,0.009060434,0
100171,0.16728817,0
100172,0.040018745,0
100173,0.07005245,0
100174,0.023009779,0
100175,0.011015836,0
100176,0.02634778,0
100177,0.0027802389,0
100178,0.0022874922,0
100179,0.0060112947,0
100180,0.027977724,0
100181,0.004533402,0
100182,0.027827602,0
100183,0.017753819,0
100184,0.33455554,0
100185,0.0081284335,0
100186,0.009896368,0
100187,0.046458464,0
100188,0.02354158,0
100189,0.050359208,0
100190,0.005898851,0
100191,0.013895752,0
100192,0.20708448,0
100193,0.011648377,0
100194,0.0050442866,0
100195,0.0066043716,0
100196,0.59045094,1
100197,0.5272646,1
100198,0.022201635,0
100199,0.00593914,0
100200,0.09836609,0
100201,0.0042910674,0
100202,0.0022350024,0
100203,0.04849482,0
100204,0.01394515,0
100205,0.0040784827,0
100206,0.038765077,0
100207,0.0072043804,0
100208,0.15018514,0
100209,0.014545754,0
100210,0.044871643,0
100211,0.0015209776,0
100212,0.0029783016,0
100213,0.004651938,0
100214,0.038397443,0
100215,0.0089981295,0
100216,0.06504816,0
100217,0.47142404,1
100218,0.0025427712,0
100219,0.019431792,0
100220,0.22860754,0
100221,0.01051983,0
100222,0.0844094,0
100223,0.060165983,0
100224,0.016803771,0
100225,0.021789508,0
100226,0.21715108,0
100227,0.0008941328,0
100228,0.0042593507,0
100229,0.0050727013,0
100230,0.10212362,0
100231,0.21066308,0
100232,0.004235847,0
100233,0.002142405,0
100234,0.004380038,0
100235,0.020603662,0
100236,0.09190283,0
100237,0.0676291,0
100238,0.015775282,0
100239,0.08319995,0
100240,0.31196252,0
100241,0.0029299005,0
100242,0.067939766,0
100243,0.012345185,0
100244,0.07312394,0
100245,0.0662472,0
100246,0.039528597,0
100247,0.016011063,0
100248,0.019377865,0
100249,0.01307831,0
100250,0.02332102,0
100251,0.033376608,0
100252,0.002217914,0
100253,0.027773064,0
100254,0.017405652,0
100255,0.0034735466,0
100256,0.013709006,0
100257,0.013580323,0
100258,0.06682092,0
100259,0.010146083,0
100260,0.21529284,0
100261,0.017459597,0
100262,0.049298212,0
100263,0.008441734,0
100264,0.05216055,0
100265,0.3771036,0
100266,0.008481236,0
100267,0.0067582275,0
100268,0.00753095,0
100269,0.061027333,0
100270,0.059258442,0
100271,0.45875055,1
100272,0.0032540376,0
100273,0.031000309,0
100274,0.39295763,0
100275,0.044031363,0
100276,0.009864954,0
100277,0.008209892,0
